Año,Trimestre,Ingresos Telefonia Movil,Ingresos Internet Fijo
2014,1,15938353,2984054
2014,2,17680972,3270816
2014,3,18976053,3478638
2014,4,20012332,3950441
2015,1,19337342,4876385
2015,2,19945453,4701791
2015,3,21785238,5153739
2015,4,24881967,5376899
2016,1,24763052,5936845
2016,2,25353971,6534241
2016,3,27416177,6912442
2016,4,30143233,7483980
2017,1,31205565,8701201
2017,2,33509264,9678647
2017,3,35711689,10065998
2017,4,38110028,11226127
2018,1,38733946,13171459
2018,2,40653502,14319467
2018,3,43280089,15410981
2018,4,44026803,16637687
2019,1,50246691,20207414
2019,2,55338816,20743118
2019,3,60905891,21652748
2019,4,65388842,24169251
2020,1,72077147,29946216
2020,2,73538944,32102476
2020,3,79634755,31997445
2020,4,83479114,33539703
2021,1,93112153,36676371
2021,2,104782020,38239667
2021,3,117751925,42999944
2021,4,127389786,45467887
2022,1,130454676,55589997
2022,2,153032313,60335724
2022,3,174057836,67055930
